회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
(주)HR컨설팅그룹,[코스닥 상장 의료기기 제조사] 영상처리 개발,"S/W, 알고리즘, 영상처리, 정보통신, Matlab",경기 광명시,6 ~ 13년 · 정규직,대학교(4년)↑,채용시,16분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777833
(주)디지포레,메타버스 사업 관리 신입 경력직 모집,"VR(가상현실), 사업관리, 메타버스, 솔루션",서울 영등포구,경력무관 · 정규직,학력무관,~02.14(금),16분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777831
(주)지엠피아이티,[ERP 유지보수] 3~5년 경력자 모집,"유지보수, 개발PM, 솔루션, ERP, SAP",서울 금천구,3 ~ 5년 · 정규직,"대학(2,3년)↑",~02.14(금),16분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777828
에이치알서비스(주),[대기업] 총무 사무지원 / SAP 우대,"SAP, 총무, 전산총무, 경영지원, 구매관리",서울 종로구,경력무관 · 파견직,"대학(2,3년)↑",상시채용,17분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777808
(주)HR컨설팅그룹,[코스닥 상장 의료기기 제조사] S/W 개발,"S/W, 정보통신, MFC, PostgreSQL, SQLite",경기 광명시,6 ~ 15년 · 정규직,"대학(2,3년)↑",채용시,21분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777760
(주)피플온(People On),[국내 대형 금융사] 해외주식 매매시스템 개발/운영 경력직 채용,"앱개발, 웹개발, 유지보수, 프론트엔드, CSS",서울 강남구,7 ~ 13년 · 정규직,대학교(4년)↑,D-5,22분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777753
(주)한결이앤씨,[한결이앤씨] 경영지원팀 인사/노무/경리/회계 업무 담당,"유지보수, 경리, 계산서발행, 급여(Payroll), 법인결산",서울 서초구,경력무관 · 정규직,대학교(4년)↑,~02.14(금),25분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777711
(주)테라시큐어,보안관제 및 운영(서울),"정보보안, 보안관제, 방화벽",서울 영등포구,신입 · 경력 · 정규직,학력무관,~03.16(일),26분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777698
(주)팀프레시,[팀프레시] WMS스쿼드 백엔드(풀스택) 개발자(경력 3년 이상),"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, SI개발",서울 강남구,경력 3년↑ · 정규직,학력무관,D-7,29분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777662
(주)에스엘즈,로보틱스 개발자 채용,"알고리즘, AI(인공지능), C++, Python, Tensorflow",경기 시흥시,경력무관 · 정규직,대학교(4년)↑,채용시,40분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777518
(주)스카우트플랜,"펌웨어 개발(의료기기 분야 / 블루투스,C언어 기반)","펌웨어, C언어, 의료기기연구",서울 강남구,3 ~ 7년 · 정규직,학력무관,~01.27(월),43분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777491
스카우트앤컴퍼니,"[자사 웹서비스 IT기업] 개발팀, DevOps팀 총괄 리드 개발자","웹개발, 반응형웹, 스크립트, 영상처리, 웹표준·웹접근성",서울 서초구,경력 9년↑ · 정규직,대학교(4년)↑,채용시,43분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777488
(주)시스윈로보틱스,자율주행로봇(AMR) 설치 및 유지보수 신입/경력 모집,"기술지원, 유지보수, H/W, S/W",경기 화성시,신입 · 경력 · 정규직,"대학(2,3년)↑",채용시,44분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777475
(주)에스엘즈,인공지능 개발자 채용,"딥러닝, 알고리즘, AI(인공지능), Tensorflow, BIM",경기 시흥시,경력 3년↑ · 정규직,대학교(4년)↑,채용시,44분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777473
(주)다성테크,(주)다성테크 생산기술팀 설비유지보수 관리직 사원 모집,"기술지원, 유지보수, 솔루션, 인프라, 설비OP",경기 이천시 외,신입 · 정규직,"대학(2,3년)↑",~02.14(금),44분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777471
피디에프솔루션세미컨덕터테크놀로지코리아(유),Python developer and customer service engineer,"기술지원, 데이터분석가, 데이터엔지니어, 유지보수, 클라우드",경기 화성시,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),45분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777462
템프인(주),[충무로/월280만/정규전환/신입O]유명기업(금융) 웹개발 채용,"백엔드/서버개발, 웹개발, 프론트엔드, SI개발, Java",서울 중구,경력 1년↑ · 파견직,"대학(2,3년)↑",~02.14(금),45분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777460
(주)토페스,[기술연구소] AI 개발자 신규 채용의 건,"데이터분석가, 영상처리, 알고리즘개발, 딥러닝, 알고리즘",경기 남양주시,신입 · 경력 · 정규직,석사↑,~02.14(금),46분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777458
조베이스(주),[프론트엔드] 프론트엔드개발자  경력직 모집,"웹개발, Angular, ECMAScript, HTML5, Javascript",서울 강남구,2 ~ 15년 · 정규직,대학교(4년)↑,~03.16(일),46분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777454
(주)맥플러스,"[맥플러스] 기술 영업,관리 신입/경력 채용","기술지원, 기술영업, 영업관리, 영업지원, 영업직",서울 성동구,경력무관 · 정규직,"대학(2,3년)↑",~02.14(금),47분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777440
위키에이드,SoC 임베디드 개발엔지니어,"임베디드, 펌웨어, FPGA, MCU, RTOS",서울전체 외,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),49분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777425
(주)스카우트플랜,"IT기획 4개분야(SCM PL, ERP(SAP) PL/PI, PLM/PMS PL, SAP ABAP","IT컨설팅, SE(시스템엔지니어), SI개발, ERP, SAP",인천 연수구,경력 3년↑ · 정규직,학력무관,~01.28(화),50분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777412
(주)파이오링크,사이버위협분석팀 모의해킹/악성코드 분석가 인재 영입,"정보보안, 모의해킹, 악성코드, 취약점진단, 스크립트",서울 금천구,경력무관 · 정규직,학력무관,~02.14(금),50분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777409
(주)에이디엔,"웹방화벽, 암복호화, 방화벽, VPN 구축 및 기술지원","기술지원, 보안컨설팅, 유지보수, 정보보안, 보안관제",서울 금천구,경력무관 · 정규직,"대학(2,3년)↑",~02.14(금),51분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777396
경방산업,IT 기술개발  및 생산,"기술지원, 트러블슈팅, 사무직, 문서작성, 비품관리",인천 남동구,경력무관 · 정규직,"대학(2,3년)↑",~03.16(일),52분 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777379
스카우트앤컴퍼니,[AI 헬스케어] 백엔드 개발자 채용(3년 이상),"백엔드/서버개발, 앱개발, 웹개발, 풀스택, 프론트엔드",서울 강서구,경력 3년↑ · 정규직,대학교(4년)↑,채용시,1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777286
(주)씨메스,AI로보틱스 어플리케이션 소프트웨어 개발자,"웹개발, 프론트엔드, S/W, C++, C언어",서울전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.13(목),1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777275
(주)씨메스,AI 로보틱스 SW 품질 QA 담당자,"웹개발, 프론트엔드, QA/테스터, SE(시스템엔지니어), 클라우드",서울전체 외,4 ~ 30년 · 정규직,"대학(2,3년)↑",~02.13(목),1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777269
스카우트앤컴퍼니,[AI헬스케어] 자사서비스 AI개발자 채용(3년 이상),"데이터시각화, 딥러닝, 머신러닝, 모델링, 빅데이터",서울 강서구,경력 3년↑ · 정규직,대학교(4년)↑,채용시,1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777218
(주)케이티아이에스,[월 273만] KT 기술혁신팀 단기 사무직 채용,"데이터분석가, DBA, QA/테스터, 검색엔진, 데이터시각화",서울 서초구 외,경력무관 · 파견직,"대학(2,3년)↑",채용시,1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777207
(주)디오에프연구소,[DOF] Algorithm SW Engineer,"S/W, C++, C언어, CAD, CAM",서울전체 외,7 ~ 15년 · 정규직,대학교(4년)↑,~02.17(월),1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777132
(주)제이투이,[IT보안 SM 남대문] IT 보안 운영 업무 보안솔루션 (2),"보안컨설팅, 정보보안, 보안관제, 네트워크, DLP",서울 종로구,경력 6년↑ · 프리랜서,"대학(2,3년)↑",~02.14(금),1시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49777118
